full_text,Sentiment
The future of Bangladesh is safe - the upcoming generation looks more united and will not allow Awami League and India to drag their noses in Bangladesh âœŠðŸ‡§ðŸ‡©ðŸŒ¾ https://t.co/IJxYMPa7ag,P
"This may be the only chance to break #Bangladesh's two party duopoly - the Awami League and the Bangladesh Nationalist Party - and so the students and their allies should certainly take the opportunity and create a new party. However, it remains to be seen quite what this new",P
"Prime Minister #SheikhHasina has congratulated @narendramodi on the victory of the National Democratic Alliance (NDA) led by the @BJP4India in the 18th Lok Sabha elections.
In her message PM said,  ""As the leader of the largest democracy in the world, you carry the hopes and https://t.co/w9ZrIiXOWr",P
"At the first hour of #21stFebruary, Prime Minister Sheikh Hasina an d the central leaders of Bangladesh Awami League have paid respect to the martyrs of the #LanguageMovement by placing wreaths at the Central Shaheed Minar in Dhaka.
à¦†à¦œ à§¨à§§à¦¶à§‡ à¦«à§‡à¦¬à§à¦°à§à¦¯à¦¼à¦¾à¦°à§€ à¦ªà§à¦°à¦¥à¦® à¦ªà§à¦°à¦¹à¦°à§‡ à¦•à§‡à¦¨à§à¦¦à§à¦°à§€à¦¯à¦¼ https://t.co/ObWXbExiNv",P
"Indian PM Shree @narendramodi welcomed his Bangladeshi counterpart HPM #SheikhHasina at the Rashtrapati Bhavan after a contingent of Indian armed forces accorded her a Guard of Honor. 
@bdmofa @PMOIndia @ihcdhaka @MEAIndia https://t.co/Ky7sig6dTg",P
"We wish a very happy birthday to the architecht of #DigitalBangladesh, ICT advisor to HPM #SheikhHasina, the icon of #Bangladesh's youth @sajeebwazed. https://t.co/xADaUci25h",P
"HPM #SheikhHasina greets the nation on the occasion of the #EidUlFitr.

#Bangladesh #AwamiLeague #EidMubarak https://t.co/QEZVwOJhX6",P
The Hon'ble Prime Minister of Thailand @Thavisin has welcomed his #Bangladesh counterpart #SheikhHasina at the Government House in #Bangladesh. PM Hasina was received with a Guard of Honor. https://t.co/huueCUvB5X,P
"Prime Minister Sheikh Hasina and the members of the newly formed cabinet have paid their respect to the Father of the Nation Bangabandhu Sheikh Mujibur Rahman at his mausoleum in Tungipara, Gopalganj. 
#Bangladesh #AwamiLeague #SheikhHasina #BangladeshPolls #BangladeshElection https://t.co/X7QxAYBvZS",P
"At 75, our party the largest and oldest one striving to make lives better for you. 

Join us in the march for a #SmartBangladesh, our vision to make the nation brighter and prosperous.

In this #PlatinumAnniversary letâ€™s revisit the overwhelming public mandate for the party in https://t.co/1R8a4gu0xc",P
"Prime Minister #SheikhHasina paid a courtesy call to the Indian President Smt Droupadi Murmu today at the Rashtrapati Bhavan in New Delhi. During the meeting, Indian President praised #Bangladesh's success under the prudent leadership of PM Hasina. 
ðŸ‘‰ https://t.co/wCZwOqVGWs https://t.co/qxmiRddZH9",P
