full_text,Sentiment
Spoke to Prime Minister Sheikh Hasina and congratulated her on her victory for a historic fourth consecutive term in the Parliamentary elections. I also congratulate the people of Bangladesh for the successful conduct of elections. We are committed to further strengthen our,P
"Honored to call on Prime Minister Sheikh Hasina of Bangladesh. Congratulated her on the renewed mandate. 

Appreciated her guidance for taking India Bangladesh Maitri forward. 

#MSC2024 https://t.co/gS2PjOjlj6",P
"Under PM Sheikh Hasina's AUTHORITARIAN rule, Bangladesh imposes a curfew with a SHOOT-ON-SIGHT order for protestors demanding the end of government job quotas favoring members of Hasina's party. https://t.co/Hamk4D0KfK",N
"I met with Prime Minister Sheikh Hasina Wazed to express my gratitude to Bangladesh for its support for Ukraine's sovereignty and territorial integrity.

We discussed Ukraine's vision of a just peace based on the Peace Formula, as well as trade and economic cooperation.

I https://t.co/l7XgKv6Fpk",P
"Since Thursday, July 18, Bangladesh has been entirely cut off from the world. Within the country, people in one area are unable to communicate with those in another. Under Sheikh Hasina's orders, a nationwide massacre is being carried out while the Bangladeshi people remain https://t.co/SIpTAPkW2B",N
"Bangladeshâ€™s election will be a 'sham' designed to cement PM Sheikh Hasinaâ€™s rule, says opposition leader Tarique Rahman, defending his partyâ€™s boycott of Sundayâ€™s vote https://t.co/88Z2RhUdP0 https://t.co/bJyIqb8gyO",N
This just crosses a line! Dear honâ€™ble MamataDi! I demand immediate arrest of this hooligan! He has hurt my sentiments &amp; the sentiments of hundreds of millions of Bengalis. I also immediately demand Dr Jaishankar apologise to Honâ€™ble Sheikh Hasina Ji for international insult.,P
"Breaking ðŸš¨ 

Dr Yunus has asked Dr Kamal, who is known as the ""Father of the Bangladeshi Constitution"", to help his government Amend and rewrite the Constitution.

The current constitution has been edited and ruined by Sheikh Hasina over the last 15 years.

#Bangladesh https://t.co/ncpcvNcmlH",N
"Bangladeshâ€™s PM Sheikh Hasina is expected to win Sundayâ€™s controversial election, after the country's main opposition party said they were boycotting it. 

Here's what you need to know â¤µï¸ https://t.co/DnL7xlYMZV",N
"The Bangladesh government blocked the website of Daily Manabzamin one day prior to their controversial election. Manabzamin, recognized as the sole newspaper providing neutral and impartial news, had been reporting without favoring Sheikh Hasina. https://t.co/gdXcoU4p1V",N
"Members of the Bangladesh Nationalist Party (BNP) marched through the streets of Dhaka in opposition to Sundayâ€™s general election.

The BNP calls for an election boycott and claims PM Sheikh Hasina is leading a sham vote towards her fourth straight term. https://t.co/RQvGVI0YWS",N
"Bangladesh Prime Minister Sheikh Hasina's recent visit to China appears to fall short on both optics and substance with no major deliverables to show, despite the claims being made.  #Bangladesh
#XiJinping #China #SheikhHasina

https://t.co/9sFY4tw8Bz",N
"Rumin Farhana, former MP, #Bangladesh, discusses ongoing genocide, persecution on Hindus, exodus after. She said, in last 15 years, during rule of Sheikh Hasina led Awami League, Hindus had faced torture, persecution. But, Govt had failed to give justice to the Hindu minorities. https://t.co/RRynVbxP6T",N
"Bangladesh government has started mass arrests and torture of students &amp; ordinary people suspected of participating in the quota movement. 

Sheikh Hasina's pet court today granted a seven-day remand to a child student. Before that, he was picked up from his house and subjected https://t.co/AqObj0ic3X",N
"In a last throw of the dice for the #Bangladesh government, amid the huge citizen protests calling for the resignation of the prime minister Sheikh Hasina,  the ruling Awami League has announced that the party will hold gatherings in all wards of Dhaka, districts and cities on https://t.co/yhwG2nin4Q",N
